Pattern, Support-Frequence
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9882039159577611-127085']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9821017060307686-107822']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9819780736241787-108649']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9819740535619452-129434']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9819630125639617-126849']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9818265611798142-127824']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9816347476688577-44952']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9811601906637504-112595']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9810082027424094-128206']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9810055962564763-113417']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.980887465274088-129228']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9805089538171536-78024']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9804894131438201-133827']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9804698203920983-78718']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9804426636138142-102770']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9803964042023178-45260']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9803531506953128-103490']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9802629665183117-134794']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9801208311720013-64243']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9801071271414048-64592']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9797699708243918-81268']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9796473863284875-79180']]
[[[['Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9794976504810919-35019']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9794742262984942-79882']]
[[[['Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9790724483461913-44164']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9789848733758614-45886']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9789636526617124-67711']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9789534118437819-69910']]
[[[['Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9789507289560498-45996']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9789270109591004-68334']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9788822096583164-43804']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9786994219653179-33863']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9785931019124238-35154']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9785450100300903-62439']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9785339591385974-42531']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9785337657466852-44354']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9785219775113837-84239']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.9784992916876114-42825']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9784979841860174-62618']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9784174185622908-46195']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9784059745770021-56727']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9783177225544073-84917']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9782809611829945-42340']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9781405764646391-135404']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9779605829364851-136359']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_2']]], ['0.9778744458187983-70361']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3']]], ['0.977594643317023-56940']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9775845753489473-33058']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9774806147560013-42104']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9772706908395806-32720']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9772537910348276-117290']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.9772386413762681-33231']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.976761151861628-73639']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T2_3']]], ['0.9766752977731745-47149']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9766245170354759-55609']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9763955463294961-129348']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9763336178869172-107508']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9763007134106796-108385']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9762079146735025-85303']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9761741628909272-44167']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9761291274588815-85996']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.975770986417279-70115']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9757595051846462-21455']]
[[[['Vuota_T0_3,Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_3']]], ['0.97574040690188-113664']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9757356601944291-74474']]
[[[['Vuota_T0_2,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9750783096114745-35487']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9750519552327023-102281']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9750343065348034-103027']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9749490919669201-117301']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9749436351716528-60972']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9749264893889031-61007']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.974716133035909-116231']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9746178298164625-61014']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9745659085350942-127520']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9744972793943695-61788']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9744972412547079-70118']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9743955138228791-126497']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3']]], ['0.9743408326245512-129448']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9742265529841656-79984']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9741450068399453-35605']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9740383403581981-69559']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T2_3']]], ['0.9737652681890601-128352']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9736485972781875-64032']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9736465437400017-23128']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9735620890333309-64406']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.973515374383851-74655']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9735118434603501-23632']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_2']]], ['0.973330875915772-105621']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9733180240028432-35603']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9732462457751601-136490']]
[[[['Vuota_T0_3,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['Piena_T1_2']]], ['0.9732309762967025-39047']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.9732297063903281-104811']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9731859501909527-36185']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9731606285751857-74004']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.972894853862635-48133']]
[[[['Vuota_T0_2,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2']]], ['0.9728182193143495-120288']]
[[[['Vuota_T0_3,Vuota_T0_0,Vuota_T0_1,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9727622591135663-68499']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9726218461056261-62063']]
[[[['Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.972543497938248-48350']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9725114691800942-77798']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9724847929235991-78498']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9723853554916906-62256']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9723112925267285-108859']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.972311068568627-41647']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9722565453570513-41703']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9721655700782095-109635']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9716961362148002-74189']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9714789687924016-35799']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9713587983228125-105407']]
[[[['Vuota_T0_2,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['Piena_T1_2']]], ['0.9713039485766759-29617']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9712904824851288-23513']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9711504244827411-38207']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9711105587317369-35161']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9710738577460871-38405']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9710543337645536-24020']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9709640277081361-104567']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0'], ['Piena_T1_2'], ['Vuota_T2_3']]], ['0.9709493466591749-81217']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9708917434503603-86088']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9708315381301164-45066']]
[[[['Vuota_T0_2,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9707559300924391-120033']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9707410803965238-22229']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9706285336315101-61632']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9705123129305566-61283']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T2_3']]], ['0.9703903744604924-80490']]
[[[['Vuota_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_2'], ['Piena_T2_3']]], ['0.970299559283783-45574']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9702976861367102-29270']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.969975844745084-105610']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9697682385948018-104734']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9696923159616374-126284']]
[[[['Vuota_T0_2,Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9695685980105638-72324']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_2']]], ['0.9695685935303774-98641']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9695214873514173-127240']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9694827889177422-99308']]
[[[['Vuota_T0_2,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9693740647092213-37571']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9693398063293439-37338']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_2'], ['Piena_T1_3']]], ['0.9692700004322081-44852']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9692484587533027-39619']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.969157968923046-28878']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_2,Piena_T0_0'], ['Vuota_T2_3']]], ['0.969089136791942-44738']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.969079277471149-61804']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9690517064873293-61528']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9690131516699783-61449']]
[[[['Vuota_T0_2,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9689333681053592-29723']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9688188899230882-39553']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.968768937754307-44761']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3']]], ['0.9684978611508581-129278']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9684619116933527-35928']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9684307550503111-126080']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9684004366034727-125097']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9683437671803784-109204']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9681805713390023-49414']]
[[[['Vuota_T0_3,Vuota_T0_0,Vuota_T0_1'], ['Piena_T1_3'], ['Vuota_T2_3']]], ['0.9681489564861547-113560']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9680175010206361-125669']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9680073829116358-25174']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9679093299095133-126649']]
[[[['Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9678789282680874-37605']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9678719956264522-99143']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9678632356487643-108361']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_3'], ['Vuota_T2_3']]], ['0.9678052462728817-128210']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9677386833350136-28797']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9677305208527871-98454']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9676849988453037-58663']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_3']]], ['0.967677255707211-80114']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9676624017025253-37285']]
[[[['Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9674355053840398-29738']]
[[[['Vuota_T0_3,Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T2_3']]], ['0.9673877586058889-112691']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9673454533423764-58477']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9672379410132997-64508']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9669273982756603-99141']]
[[[['Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9669144617792341-39541']]
[[[['Vuota_T0_2,Vuota_T0_0,Vuota_T0_1,Piena_T0_3'], ['Vuota_T1_3']]], ['0.966841842935966-110569']]
