Pattern, Confidence-Frequence-Frequence %
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['1.0-9-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['Piena_T1_2'], ['Piena_T2_2']]], ['0.35-7-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], ['0.35-7-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], ['0.35-7-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_3']]], ['0.35-21-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Piena_T1_3']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_1'], ['Piena_T1_1']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_1']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T2_1']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T2_1']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_1']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2'], ['Piena_T2_2']]], ['0.35-14-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_2']]], ['0.34965034965034963-50-0.04%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_1']]], ['0.3488372093023256-15-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T2_2']]], ['0.3486238532110092-38-0.03%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_2']]], ['0.3485714285714286-61-0.05%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_3']]], ['0.34831460674157305-31-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['Piena_T1_3']]], ['0.34831460674157305-31-0.02%']]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_3']]], ['0.3482142857142857-39-0.03%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['Piena_T1_2']]], ['0.34782608695652173-16-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['Piena_T1_1']]], ['0.34782608695652173-16-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.34782608695652173-16-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1,Piena_T2_1']]], ['0.34782608695652173-16-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.34782608695652173-16-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.34782608695652173-16-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.3469387755102041-17-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T2_1']]], ['0.3466666666666667-26-0.02%']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3,QuasiPiena_T2_2']]], ['0.34615384615384615-18-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.34615384615384615-18-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.34615384615384615-18-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_3']]], ['0.34545454545454546-38-0.03%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.34523809523809523-29-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_2']]], ['0.3448275862068966-20-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['Piena_T1_2']]], ['0.3448275862068966-20-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,Piena_T0_3'], ['Piena_T1_2']]], ['0.3448275862068966-20-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['QuasiPiena_T2_3,Piena_T2_3']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_1']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_3'], ['Piena_T2_3']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['QuasiPiena_T1_1,Piena_T1_1']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['QuasiPiena_T2_1']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Piena_T1_1']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_1']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,Piena_T0_3'], ['Piena_T2_3']]], ['0.3448275862068966-10-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_3,QuasiPiena_T1_2'], ['Piena_T2_2']]], ['0.3448275862068966-10-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.3448275862068966-10-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_2']]], ['0.3442622950819672-21-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Piena_T1_2']]], ['0.3442622950819672-21-0.02%']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_1,QuasiPiena_T1_1']]], ['0.34375-11-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.34375-11-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_1'], ['QuasiPiena_T2_1']]], ['0.34375-11-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_1'], ['QuasiPiena_T2_2,QuasiPiena_T2_1']]], ['0.34375-11-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_1'], ['QuasiPiena_T2_1,Piena_T2_1']]], ['0.34375-11-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_1'], ['Piena_T2_1']]], ['0.34375-11-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_1']]], ['0.34285714285714286-60-0.04%']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.34285714285714286-24-0.02%']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T2_3']]], ['0.34285714285714286-24-0.02%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.34285714285714286-24-0.02%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_3']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_2']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_1']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['Piena_T1_1']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T2_3']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.34285714285714286-24-0.02%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_3']]], ['0.34285714285714286-24-0.02%']]
[[[['Piena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], ['0.34285714285714286-12-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_1']]], ['0.34285714285714286-12-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_2,Piena_T1_3']]], ['0.34285714285714286-12-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T2_3,QuasiPiena_T2_2']]], ['0.34285714285714286-12-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_1']]], ['0.34285714285714286-12-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_2'], ['QuasiPiena_T2_1']]], ['0.34210526315789475-13-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.34210526315789475-13-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.34210526315789475-13-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.34210526315789475-13-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_3'], ['Piena_T1_1']]], ['0.34210526315789475-13-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.3404255319148936-16-0.01%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_3'], ['QuasiPiena_T2_3,QuasiPiena_T2_3']]], ['0.3404255319148936-16-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2']]], ['0.34-17-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['QuasiPiena_T2_1']]], ['0.34-17-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_1'], ['QuasiPiena_T2_3,QuasiPiena_T2_2']]], ['0.33962264150943394-18-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_1'], ['QuasiPiena_T2_2,QuasiPiena_T2_1']]], ['0.33962264150943394-18-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_2'], ['QuasiPiena_T2_3,QuasiPiena_T2_3']]], ['0.3373493975903614-28-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_2']]], ['0.33707865168539325-30-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_1']]], ['0.33707865168539325-30-0.02%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_1']]], ['0.33695652173913043-62-0.05%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Piena_T1_2']]], ['0.3333333333333333-9-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_2,Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3,QuasiPiena_T2_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T2_3,QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_1'], ['Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_1'], ['Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_1'], ['Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_3'], ['Piena_T2_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['Piena_T1_0']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_0']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-8-0.01%']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2,QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_3'], ['Piena_T2_3']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_2']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_1']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2'], ['Piena_T2_3']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2'], ['Piena_T2_2']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_2'], ['Piena_T2_2']]], ['0.3333333333333333-8-0.01%']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_1'], ['QuasiPiena_T2_3,QuasiPiena_T2_2']]], ['0.3333333333333333-7-0.01%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-7-0.01%']]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['Piena_T1_0']]], ['0.3333333333333333-6-0.0%']]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_0']]], ['0.3333333333333333-6-0.0%']]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_2,QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_2'], ['Piena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['Piena_T0_0,QuasiPiena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2,QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3,Piena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3,QuasiPiena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_1,Piena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_3'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_3'], ['Piena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_2,QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_2,QuasiPiena_T2_2']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-6-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.3333333333333333-5-0.0%']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.3333333333333333-4-0.0%']]
